state,region,total_pop,men,women,hispanic_prcnt,hispanic_count,white_prcnt,white_count,black_prcnt,black_count,other_prcnt,other_count,native_prcnt,native_count,asian_prcnt,asian_count,pacific_prcnt,pacific_count,citizen,income,poverty_prcnt, poverty_count,childpoverty_prcnt,childpoverty_count,professional_prcnt,professional_count,service_prcnt,service_count,office_prcnt,office_count,construction_prcnt,construction_count,production_prcnt,production_count,drive_prcnt,drive_count,carpool_prcnt,carpool_count,transit_prcnt,transit_count,walk_prcnt,walk_count,othertrans_prcnt,othertrans_count,employed,privatework_prcnt,privatework_count,workathome_prcnt,workathome_count,meancommute,public_prcnt,public_count,selfemploy_prcnt,selfemploy_count,unemploy_prcnt,unemploy_count,familywork_prcnt,familywork_count
Alabama,South,4830620,2341093,2489527,4,193191.56,66.34,3204688.47,26.3,1270589.42,0.48,23130.95,0.46,22035.63,1.23,59354.7,0.02,1095.32,3620994," 44,765 ",18.85,910514.3,27.29,1318510.66,32.77,1582941.86,16.81,812142.08,24.04,1161332.57,10.06,485988.97,16.31,787977.53,85.42,4126486.46,9.25,446599.98,0.41,19688.7,1.12,54167.37,1.04,50313.06,2022325,78.22,3778690.68,2.74,132520.52,25.93,16.31,788037.36,5.28,255046.47,9.41,454469.6,0.19,9076.72
Alaska,West,733375,384160,349215,6.53,47872.02,62.38,457452.87,3.22,23626.88,14.6,107041.08,13.42,98392.14,5.77,42337.39,1.18,8648.93,523946,"73,355",10.18,74625.98,13.59,99631.15,36.11,264787.29,17.57,128838.5,22.74,166771.83,12.67,92918.01,10.93,80167.06,66.87,490388.49,12.57,92153.94,1.57,11511.01,8.24,60439.6,6.14,45052.45,351108,67.94,498221.46,4.62,33897.35,11.23,25.59,187637.5,6.3,46175.08,8.45,61944.14,0.19,1359.46
Arizona,West,6641928,3299088,3342840,30.34,2015062.86,56.49,3751935.67,3.96,263020.04,4.18,277435.38,4,265843.51,2.92,193808.98,0.17,11591.87,4526594,"51,492",18.22,1210358.64,25.96,1724496.52,34.74,2307667.93,20.11,1335879.03,26.12,1735046.11,9.37,622387.92,9.72,645540.92,76.53,5082979.38,11.1,737305.08,2.04,135255.51,2.11,139854.32,2.72,180982.27,2813406,78.77,5231627.01,5.52,366959.68,21.72,15.16,1007076.48,5.93,394001.55,9.09,603931.23,0.2,13012.16
Arkansas,South,2958208,1451913,1506295,6.87,203252.52,73.6,2177132.35,15.44,456641.25,0.78,23202.27,0.56,16567.56,1.35,39995.95,0.22,6634.71,2164083,"41,995",19.32,571559.71,27.76,821253.3,31.57,934040.29,17.18,508229.75,23.73,702102.15,10.86,321357.21,16.65,492505.42,82.46,2439409.21,10.87,321573.83,0.43,12583.65,1.77,52499.64,1.26,37167.24,1256081,76.99,2277611.13,3.19,94358.87,23.17,16.46,486774.25,6.36,188135.46,7.81,231175.75,0.19,5744.78
California,West,38421464,19087135,19334329,38.38,14746532.03,38.73,14878725.56,5.62,2157961.36,0.72,277974.86,0.38,144703.99,13.52,5192711.43,0.35,133270.87,24280349,"64,500",16.29,6260493.91,22,8451676.91,36.71,14105576.38,18.88,7254156.89,23.75,9123454.97,9.46,3633943.84,11.22,4309931.73,73.74,28330526.37,10.91,4192808.35,4.91,1887854.66,2.65,1017963.68,2.49,958353.21,17246360,77.52,29786217.75,5.28,2026868.16,24.97,14.04,5395287.93,8.27,3179151.53,10.01,3845640.47,0.2,77209.6
Colorado,West,5278906,2648667,2630239,21.08,1112575.63,69.07,3645899.06,3.84,202914.17,0.66,34991.39,0.55,28890.71,2.86,150856.99,0.12,6100.68,3750953,"63,909",12.71,671136.22,16.8,887085.28,40.06,2114546.86,17.59,928497.38,23.84,1258729.21,9.51,501821.39,9.02,476191.38,75.45,3982778.62,9.59,506337.67,3.04,160643.34,2.96,156067.67,2.36,124599.18,2624436,79.21,4181329.59,6.6,348663.83,21.17,14.19,749183.36,6.42,338893.37,7.03,371214.78,0.2,10332.62
Connecticut,Northeast,3593222,1751607,1841615,14.67,527256.77,69.23,2487570.94,9.66,347027.48,0.12,4143.36,0.12,4143.36,4.15,149296.5,0,0,2574178,"71,346",10.51,377782.11,14.3,513923.73,41.68,1497833.3,17.81,639990.83,23.54,845785.89,7.39,265619.75,9.6,344976.05,78.3,2813572.55,8.23,295642.48,4.88,175244.42,3.02,108348.18,1.17,41962.12,1781417,80.27,2884319.7,4.38,157272.91,25.49,13.19,473961.88,6.31,226600.96,8.82,316994.46,0.17,6043.05
Delaware,South,926454,448413,478041,8.71,80657.03,63.87,591725.64,21.06,195086.3,0.3,2738.25,0.3,2738.25,3.6,33322.16,0,0,681606,"61,255",12.05,111663.07,17.57,162815.53,38.08,352804.47,18.59,172184.44,24.13,223593.25,8.61,79808.64,10.64,98612.84,81.13,751676.12,8.4,77855.49,2.97,27534.48,2.17,20084.09,1.13,10508.35,433816,81.19,752221.92,4.19,38795.49,25.53,14.68,136049.5,3.98,36917.11,7.72,71496.5,0.14,1265.47
District of Columbia,South,647484,306674,340810,10.2,66043.37,35.6,230504.3,48,310792.32,0.2,1294.97,0.2,1294.97,3.6,23309.42,0,0,485116,"75,628",18,116547.12,26.7,172878.23,60.9,394317.76,15.2,98417.57,17.4,112662.22,2.9,18777.04,3.7,23956.91,33.7,218202.11,5.7,36906.59,37.4,242159.02,12.9,83525.44,5.2,33669.17,337815,70,453238.8,5,32374.2,29.7,25.4,164460.94,4.4,28489.3,9.6,62158.46,0.1,647.48
Florida,South,19645772,9600009,10045763,23.73,4662134.84,56.06,11013332.01,15.44,3033825.68,0.25,49034.31,0.21,41319.37,2.54,499744.14,0.04,7714.93,13933052,"49,426",16.56,3254148.44,24.08,4730196.61,33.78,6635527.8,20.65,4056967.42,27.3,5362684.63,9.15,1798438.99,9.12,1791612.46,79.62,15642441.6,9.5,1866895.2,2.03,399701.72,1.45,284722.87,2.24,439183.96,8541291,81.32,15975557.5,5.12,1006787.27,25.95,12.6,2476223.87,5.92,1162702.83,9.74,1912549.35,0.16,30614.15
Georgia,South,10006693,4883331,5123362,9.14,914556.31,54.57,5460393.63,30.52,3054274.57,0.21,21153.67,0.19,18752.27,3.58,358381.57,0.02,2401.4,6978660,"51,244",18.48,1848912.55,26.36,2637791.3,35.29,3531479.12,17.1,1710905.76,24.71,2472784.12,9.35,935336.1,13.54,1354556.17,79.77,7982260.6,10.37,1038109.77,1.98,198238.25,1.59,158961.85,1.59,159440.77,4388274,78.71,7876493.82,4.7,470379.18,25.44,15.57,1558297.27,5.53,553099.89,9.7,970188.62,0.17,17250.61
Hawaii,West,1406299,709871,696428,9.86,138599.93,22.93,322411.1,1.93,27136.67,9.21,129567.41,0.13,1858.87,36.75,516779.81,9.08,127708.54,1001729,"73,486",11.23,157969.04,15.21,213885.65,34.06,478982.96,22.72,319520.99,24.8,348702,9.79,137629.46,8.64,121463.67,66.91,941007.08,14.05,197540.4,6.39,89878.7,4.49,63123.57,3.53,49645.99,653284,72.16,1014740.09,4.64,65225.04,21.24,20.65,290424.97,6.92,97303.56,6.08,85486.87,0.19,2654.73
Idaho,West,1616547,810464,806083,11.84,191383.94,83.04,1342450.64,0.58,9334.91,1.2,19376.36,1.08,17468.39,1.29,20785.94,0.12,1907.96,1130550,"48,275",15.47,250141.96,19.01,307347.22,33.13,535558.86,18.02,291376.78,24.01,388118.79,12.13,196119.53,12.71,205426.19,77.9,1259310.57,10.07,162802.95,0.76,12269.07,3.03,48935.74,2.35,37948.2,715861,76.22,1232055.98,5.93,95862.36,21.24,15.84,256049.04,7.68,124126.6,7.23,116883.8,0.28,4593.46
Illinois,Midwest,12873761,6316899,6556862,16.47,2120792.33,62.48,8043137.39,14.15,1821204.95,0.12,14922.07,0.11,14633.3,4.97,640258.16,0,288.77,8979999,"59,588",14.36,1849232.74,20.54,2644757.81,36.66,4719783.31,17.47,2249518.7,24.49,3152306.54,7.36,946873.16,14.02,1805014.48,73.43,9453298.67,8.53,1097656.54,9.08,1169504.64,3.11,400345.6,1.66,213737.11,6086226,82.69,10645431.04,4.19,539100.7,23.56,12.49,1607995.44,4.69,604332.11,9.07,1167322.71,0.14,17755.33
Indiana,Midwest,6568645,3235263,3333382,6.41,421083.24,80.51,5288487.12,9.04,594117.39,0.2,13311.1,0.18,12073.61,1.84,120793.95,0.02,1237.48,4801113,"50,532",15.41,1012223.87,22.06,1448840.82,32.08,2107420.9,17.11,1123585.24,23.27,1528358.28,8.89,583663.9,18.69,1227414.28,82.99,5451023.33,9.05,594465.55,1.1,72353.39,2.09,137587.55,1.47,96550.94,3038762,84.2,5530837.48,3.31,217381.85,24.31,11.01,723074.74,4.63,304440.52,7.87,517109.81,0.16,10301.38
Iowa,Midwest,3093526,1534595,1558931,5.43,167975.46,87.4,2703825.43,3.09,95564.05,0.33,10221.57,0.27,8483.64,2.03,62669.76,0.06,1737.93,2285126,"54,736",12.53,387543.08,15.79,488566.31,34.27,1060124.67,16.66,515321.2,23.3,720703.51,9.44,291895.12,16.35,505895.47,80.62,2494064.3,8.8,272077.99,1.09,33763.84,3.5,108177.69,1.53,47294.03,1573510,79.75,2467147.36,4.48,138603.04,19.4,13.47,416694.75,6.56,202873.06,4.95,153255.42,0.22,6906.15
Kansas,Midwest,2892987,1439862,1453125,11.17,323249.8,77.04,2228869.67,5.66,163778.27,0.74,21519.42,0.71,20475.65,2.58,74624.39,0.04,1043.77,2053919,"53,906",13.63,394171.87,17.83,515703.66,36.31,1050568.98,16.89,488528.32,22.92,663201.72,10.07,291305.09,13.81,399623.39,82.15,2376689.55,9.63,278460.51,0.48,13763.56,2.36,68252.54,1.33,38582.19,1401197,77.68,2247236.78,4.05,117176.26,17.59,16.05,464303.89,6.09,176054.93,5.98,173031.49,0.19,5533.03
Kentucky,South,4397353,2164208,2233145,3.27,143915.88,85.55,3761984.34,7.78,342227.97,0.2,8906.61,0.16,7217.14,1.24,54739.19,0.04,1689.47,3297108,"45,215",18.92,832030.25,26.27,1155097.68,32.32,1421362.71,16.92,744173.51,23.77,1045250.73,9.95,437367.51,17.05,749739.87,82.46,3625854.66,9.87,434196.45,1.02,44687.55,2.31,101761.91,1.27,55862.84,1891381,78.82,3466190.87,3.06,134647.96,25.26,15.49,681273.08,5.51,242502.61,8.65,380319.65,0.16,7208.18
